donor_id,in_study,model_score,diff_efficiency
HPSI0514i-lako_1,succeeded,0.997761215,0.820918536
HPSI0514i-lako_2,not_assessed,0.936214588,NA
HPSI0514i-letw_1,succeeded,0.973217541,0.853594771
HPSI0514i-letw_5,not_assessed,0.983261627,NA
HPSI0514i-mure_4,not_assessed,0.944883621,NA
HPSI0514i-mure_9,not_assessed,0.983356799,NA
HPSI0514i-naah_2,succeeded,0.956847063,0.853608247
HPSI0514i-naah_4,not_assessed,0.953028085,NA
HPSI0514i-oekw_2,succeeded,0.951773237,0.279831933
HPSI0514i-oupf_5,not_assessed,0.845960041,NA
HPSI0514i-oupf_6,succeeded,0.94095223,0.600522193
HPSI0514i-puie_4,succeeded,0.990364701,0.725900682
HPSI0514i-puie_5,not_assessed,0.985296662,NA
HPSI0514i-pulk_1,not_assessed,0.974499364,NA
HPSI0514i-qajt_2,not_assessed,1.34E-05,NA
HPSI0514i-qajt_5,not_assessed,0.467654419,NA
HPSI0514i-qihv_1,failed,0.122720112,0.177419355
HPSI0514i-rutc_2,succeeded,0.99753909,0.901181525
HPSI0514i-sohd_2,succeeded,0.970467701,0.668965517
HPSI0514i-sohd_3,not_assessed,0.813746265,NA
HPSI0514i-suul_1,succeeded,0.934714902,0.696774194
HPSI0514i-suul_2,not_assessed,0.930885642,NA
HPSI0514i-tavh_2,not_assessed,0.958100318,NA
HPSI0514i-tert_1,succeeded,0.941214813,0.751743375
HPSI0514i-tert_3,not_assessed,0.98946597,NA
HPSI0514i-toco_5,not_assessed,0.793330499,NA
HPSI0514i-uenn_3,succeeded,0.980292964,0.320143397
HPSI0514i-vuna_3,not_assessed,0.844972982,NA
HPSI0514i-wiii_2,not_assessed,0.912742337,NA
HPSI0514i-wiii_3,failed,0.169918032,0.029347102
HPSI0514i-xayd_4,not_assessed,0.998352667,NA
HPSI0514i-xayd_5,not_assessed,0.981614213,NA
HPSI0514i-xufp_1,not_assessed,0.808339682,NA
HPSI0514i-xufp_2,not_assessed,0.321512478,NA
HPSI0514i-yafr_3,not_assessed,0.850286388,NA
HPSI0514i-yelp_3,not_assessed,0.874700509,NA
HPSI0514i-yewo_4,succeeded,0.984090512,0.854647536
HPSI0514pf-sohd_2,not_assessed,0.970467701,NA
HPSI0516i-aaun_5,not_assessed,0.961728164,NA
HPSI0516i-aaun_6,not_assessed,0.87555582,NA
HPSI0516i-dewa_2,not_assessed,0.904660493,NA
HPSI0516i-dewa_5,not_assessed,0.741631559,NA
